exercise,dimension,mae,rmse,pearson,icc
squat,depth,1.1372090578079224,1.4831868410110474,0.9979910945968986,0.0
squat,stability,2.03456974029541,4.01821231842041,0.9924425501640481,0.0
squat,symmetry,1.4325931072235107,1.9573652744293213,0.9978328093562205,0.0
squat,tempo,0.6376989483833313,2.2734079360961914,0.9941146720763154,0.0
squat,alignment,1.8983372449874878,2.797253131866455,0.9963082400172,0.0
squat,overall,1.0916922092437744,1.3979393243789673,0.9982188493240318,0.0
pushup,depth,1.4804421663284302,1.8453129529953003,0.9963158336412851,0.0
pushup,stability,1.8705650568008423,3.9045143127441406,0.9935349627380575,0.0
pushup,symmetry,1.593488335609436,2.2118637561798096,0.9969501679881847,0.0
pushup,tempo,0.8320086002349854,2.9784326553344727,0.9911250823630867,0.0
pushup,alignment,1.9663362503051758,3.1029746532440186,0.9889022461044001,0.0
pushup,overall,1.031410813331604,1.3905178308486938,0.9978895286868337,0.0
plank,depth,4.963862419128418,6.193746566772461,0.9556122055459345,0.0
plank,stability,1.7453880310058594,3.3924143314361572,0.9958260574638829,0.0
plank,symmetry,1.472801923751831,2.071805238723755,0.9970979832974642,0.0
plank,tempo,1.6061668395996094,4.192099571228027,0.9839141323452691,0.0
plank,alignment,1.7195982933044434,3.044214963912964,0.9894691418214011,0.0
plank,overall,1.4749996662139893,1.9244906902313232,0.9962458864316415,0.0
bicep_curl,depth,0.9628502726554871,1.2187387943267822,0.9984818672472118,0.0
bicep_curl,stability,1.7499473094940186,3.4746954441070557,0.9941566148461085,0.0
bicep_curl,symmetry,1.5510905981063843,2.3583528995513916,0.9961434518284665,0.0
bicep_curl,tempo,0.5910382270812988,2.513108968734741,0.9903850186358023,0.0
bicep_curl,alignment,1.261808156967163,1.815840482711792,0.9965582155088504,0.0
bicep_curl,overall,0.8316845893859863,1.1090420484542847,0.9984905808478455,0.0
lunge,depth,1.2783061265945435,1.6030220985412598,0.9973944041136836,0.0
lunge,stability,1.7698007822036743,3.420011281967163,0.9950021579941514,0.0
lunge,symmetry,1.5070204734802246,2.161257266998291,0.9938963813819188,0.0
lunge,tempo,0.49562326073646545,1.9575026035308838,0.9960006051437351,0.0
lunge,alignment,1.1452691555023193,1.641046404838562,0.996920639766204,0.0
lunge,overall,0.8848021626472473,1.1553207635879517,0.998350905680951,0.0
